"country","conv_rate"
"South Korea",0.818149200087811
"Belgium",0.445665958150762
"Spain",0.439697113245217
"France",0.42486717397105
"Switzerland",0.319659017131515
"Ireland",0.305582640019644
"Australia",0.299705567474125
"Italy",0.296189028013633
"Denmark",0.290373959659078
"Russia",0.288756499347871
"Israel",0.287226533186617
"Finland",0.286677143374047
"United States",0.286120310053184
"Sweden",0.263308427909356
"Netherlands",0.251223490304175
"Canada",0.232822655008958
"United Kingdom",0.222693052695963
"Austria",0.215930740873926
"Germany",0.208830876904511
"Norway",0.185205254763542
