"term","estimate","std.error","statistic","p.value","conf.low","conf.high","model"
"AT",-0.00451128760595421,0.00449453915219978,-1.00372640068031,0.315510508130708,0.00880913486541675,0.00429784725946254,"Overall"
"BE",-0.0026596920300028,0.00575370550122594,-0.462257240909549,0.643896859044219,0.0112770555600528,0.00861736353005003,"Overall"
"CA",0.00992474146327689,0.00670240444656862,1.48077328701911,0.138666997155517,0.0131364713250956,0.0230612127883725,"Overall"
"CH",0.00171439226976587,0.00456285212064792,0.375728212187257,0.707118961820235,0.00894302582325213,0.010657418093018,"Overall"
"CN",-0.00585581820052419,0.00450646210309533,-1.29942692661324,0.193797455901095,0.00883250341976148,0.00297668521923729,"Overall"
"DE",-0.00475869787941455,0.00410592240211463,-1.15898388068994,0.24646275558158,0.00804746003146085,0.0032887621520463,"Overall"
"DK",0.0118978102764972,0.00915582022949799,1.29948054661068,0.193779065281576,0.0179450778987393,0.0298428881752365,"Overall"
"ES",-0.0111918903573037,0.00751689112337547,-1.48889882447545,0.136514013170578,0.0147328358775247,0.00354094552022105,"Overall"
"FI",0.0346651990049847,0.0248300726481415,1.39609736532847,0.16268517711442,0.0486660481238704,0.0833312471288551,"Overall"
"FR",-0.0026045454786212,0.00434442857587181,-0.599513936789383,0.548830219168734,0.00851492354211539,0.00591037806349419,"Overall"
"GB",0.0272289264930835,0.00589625005346463,4.61800741932304,3.87442404025704e-06,0.011556437748633,0.0387853642417166,"Overall"
"IE",0.0134344641544034,0.00948219162330924,1.41681002537205,0.15653847779258,0.0185847540761935,0.0320192182305969,"Overall"
"IL",0.0176869558792046,0.0246608216786057,0.717208700898591,0.473245331349891,0.0483343223192317,0.0660212781984363,"Overall"
"IT",-0.00806919249062563,0.00638853066568095,-1.26307486226421,0.206562277011729,0.0125212900188644,0.00445209752823874,"Overall"
"JP",0.00563366688379908,0.00761380363653976,0.739928050779021,0.459343652737012,0.014922780912978,0.0205564477967771,"Overall"
"KR",0.0171433911414017,0.0136173088584564,1.25894119899877,0.208051571401526,0.0266894349289329,0.0438328260703346,"Overall"
"NL",-0.000934936185302483,0.00553604431276193,-0.168881629640721,0.865889749062513,0.0108504474698312,0.0099155112845287,"Overall"
"NO",-0.00747260507376392,0.0113704762597406,-0.657193674483287,0.511056392353203,0.0222857239561593,0.0148131188823954,"Overall"
"REST",-0.00525566112506859,0.00355120445797048,-1.47996579393579,0.138882375490883,0.00696023283936023,0.00170457171429163,"Overall"
"SE",-0.00457708240809916,0.00699256865988273,-0.65456381348938,0.512748628825579,0.0137051827327937,0.00912810032469449,"Overall"
"SG",0.00896048362054259,0.0107060823054699,0.836952618603029,0.402619201640892,0.0209835357342426,0.0299440193547851,"Overall"
"US",0.0338492661579344,0.0030543924026624,11.0821602779097,1.53132516034769e-28,0.00598649910387106,0.0398357652618055,"Overall"
"CA",0.00132402176322533,0.014548080368049,0.0910100666018585,0.927484592262691,0.0285137135655702,0.0298377353287955,"Chemistry"
"CH",-0.00763552959858738,0.00921483364321307,-0.82861285338679,0.407323512446137,0.0180607420642256,0.0104252124656382,"Chemistry"
"CN",-0.00302315163283852,0.0102595546566674,-0.294666945496886,0.768248316234649,0.0201083576244882,0.0170852059916497,"Chemistry"
"DE",0.00460254061993066,0.00545029215791071,0.844457597240985,0.398413748547677,0.0106823763347261,0.0152849169546568,"Chemistry"
"FR",0.00624798833426026,0.00937211148050441,0.666657491991761,0.504990936774972,0.018369000960883,0.0246169892951433,"Chemistry"
"GB",0.036136063128504,0.0138821492784574,2.6030596850432,0.00923958669999125,0.0272085126137852,0.0633445757422892,"Chemistry"
"IT",0.00353056246066906,0.00933057636237902,0.37838632079625,0.70514362855831,0.0182875936252636,0.0218181560859327,"Chemistry"
"JP",0.0244500644550302,0.0154158485186054,1.58603429616744,0.112731529864406,0.0302145078875918,0.0546645723426221,"Chemistry"
"KR",0.0459409149363921,0.0105242712907419,4.36523476706702,1.26986300406814e-05,0.0206271926933831,0.0665681076297752,"Chemistry"
"REST",-0.0025767305740125,0.011479337209838,-0.224466842197492,0.82239406474281,0.022499087497673,0.0199223569236605,"Chemistry"
"US",0.0216325366746844,0.00657958800734786,3.28782541559227,0.00100964429274307,0.0128957555275135,0.0345282922021978,"Chemistry"
"CA",0.00900547113272503,0.0092489136964879,0.973678793883079,0.330216049777681,0.0181275377412355,0.0271330088739605,"Electrical engineering"
"CH",0.00467087944602544,0.0076013440536116,0.614480730392171,0.53889770278182,0.0148983605791764,0.0195692400252019,"Electrical engineering"
"CN",-0.0109430123115624,0.00726713059243852,-1.5058229891931,0.132112620118169,0.0142433142321287,0.00330030192056635,"Electrical engineering"
"DE",-0.00652135893057768,0.011462362937666,-0.568936698832676,0.569399099104809,0.022465818535552,0.0159444596049743,"Electrical engineering"
"FR",-0.0120188778433465,0.0114969024049359,-1.04540139770052,0.295837490998086,0.0225335146474462,0.0105146368040997,"Electrical engineering"
"GB",0.0273632696234838,0.00966673264319614,2.8306637447704,0.00464515273593448,0.0189464478288421,0.0463097174523259,"Electrical engineering"
"IT",-0.012752853860794,0.0130218748873209,-0.979340837716933,0.327411598761733,0.0255224057903355,0.0127695519295416,"Electrical engineering"
"JP",-0.000764129099399431,0.0110715260093493,-0.0690175047914952,0.944975685914869,0.0216997922322231,0.0209356631328237,"Electrical engineering"
"KR",0.0268502408153381,0.0208910337071927,1.28525190240317,0.198704271779507,0.0409456736659099,0.0677959144812481,"Electrical engineering"
"REST",-0.0037469249098489,0.00820028533719487,-0.456926162417007,0.64772411853228,0.0160722639238538,0.0123253390140049,"Electrical engineering"
"US",0.0385017639494933,0.00570985419527387,6.74303802387139,1.55108594849705e-11,0.0111911085797117,0.0496928725292051,"Electrical engineering"
"CA",0.0390784254051058,0.0473540490994132,0.825239364918216,0.409235708724225,0.0928122307569913,0.131890656162097,"Other fields"
"CH",0.00914362546703197,0.0143047899825308,0.639200259367544,0.522692663413498,0.0280368731721698,0.0371804986392018,"Other fields"
"CN",-0.035845662108924,0.0110026526954481,-3.25791089668345,0.00112235641293889,0.0215648030174809,-0.0142808590914431,"Other fields"
"DE",0.00204110292819349,0.0260254810731549,0.0784270969845348,0.937488319632907,0.0510090055837124,0.0530501085119059,"Other fields"
"FR",-0.0138960360276073,0.0180021860312973,-0.771908256222251,0.440168767016016,0.0352836362643327,0.0213876002367255,"Other fields"
"GB",-0.0123570417298363,0.0164464843273963,-0.751348524331864,0.452442933270141,0.0322345169539991,0.0198774752241628,"Other fields"
"IT",-0.00280232360697366,0.02481404107946,-0.112932980081721,0.91008368925545,0.048634626826639,0.0458323032196653,"Other fields"
"JP",0.0114820800653425,0.0218521384812968,0.525444229413518,0.599274413536258,0.0428294044085236,0.0543114844738661,"Other fields"
"KR",-0.0869998779851882,0.0537623439438599,-1.61823074671067,0.10561287899191,0.10537225785442,0.0183723798692323,"Other fields"
"REST",-0.0295633320892246,0.015298633611487,-1.93241650463653,0.0533081185353309,0.0299847708911884,0.000421438801963762,"Other fields"
"US",0.0513630574503357,0.0158109664143228,3.24857166250173,0.00115985988806223,0.0309889247328451,0.0823519821831807,"Other fields"
"CA",-0.00801185346193694,0.0157170345479309,-0.509756050831592,0.610222379250356,0.0308048216577163,0.0227929681957794,"Instruments"
"CH",0.000164164775368638,0.0184377622072997,0.00890372559982598,0.99289594867425,0.0361373498818211,0.0363015146571897,"Instruments"
"CN",-0.0162368355128137,0.0119224613682263,-1.36186941700523,0.173239099387451,0.0233675948887938,0.00713075937598003,"Instruments"
"DE",-0.00772218340872523,0.00553114004888865,-1.3961287077294,0.162675740335696,0.0108408352892689,0.00311865188054365,"Instruments"
"FR",0.00441990400586633,0.0163487555431895,0.270351097622691,0.786890158119867,0.032042972056701,0.0364628760625673,"Instruments"
"GB",0.0322583838764697,0.00955536278283203,3.37594548837306,0.0007356249262798,0.0187281669135652,0.0509865507900349,"Instruments"
"IT",-0.00656129051440767,0.0167107106884787,-0.392639824644406,0.694585521183825,0.0327523911054867,0.026191100591079,"Instruments"
"JP",0.0148948356026742,0.0198959951780652,0.748634861909062,0.454077313900578,0.0389954339855905,0.0538902695882647,"Instruments"
"KR",-0.0284560250416252,0.0286810708260673,-0.992153508290997,0.321122647793492,0.0562138658571344,0.0277578408155091,"Instruments"
"REST",-0.00366090864453466,0.00895318356596843,-0.408894625868053,0.682616993073374,0.017547917336274,0.0138870086917394,"Instruments"
"US",0.0345279135961114,0.0040846064743314,8.45317996068721,2.83474235423577e-17,0.00800568158070867,0.0425335951768201,"Instruments"
"CA",0.0063193797283593,0.0223564284496015,0.282664994661611,0.777433652521293,0.0438177945841656,0.0501371743125249,"Mechanical engineering"
"CH",0.0254354023288002,0.00796342052160434,3.19402978403506,0.00140301641419139,0.0156080174160917,0.0410434197448919,"Mechanical engineering"
"CN",-0.0149629887957967,0.00705499792199983,-2.12090619461944,0.0339296972680408,0.0138275418381246,-0.00113544695767211,"Mechanical engineering"
