"","p_year","Ctry_code","female_share_inventors"
"1",1990,"AT",0.027686222808174
"2",1991,"AT",0.0351225977468522
"3",1992,"AT",0.0361057382333978
"4",1993,"AT",0.0371830985915493
"5",1994,"AT",0.0334246575342466
"6",1995,"AT",0.0474160895045285
"7",1996,"AT",0.0467461044912924
"8",1997,"AT",0.0453671664744329
"9",1998,"AT",0.0413416536661466
"10",1999,"AT",0.0509308043554619
"11",2000,"AT",0.0420411713540157
"12",2001,"AT",0.0576535024502739
"13",2002,"AT",0.060622914349277
"14",2003,"AT",0.0676328502415459
"15",2004,"AT",0.0570144310385616
"16",2005,"AT",0.0539381629429023
"17",2006,"AT",0.0782889426957224
"18",2007,"AT",0.0804085422469824
"19",2008,"AT",0.0744497607655502
"20",2009,"AT",0.0862513822336896
"21",2010,"AT",0.0797600141168167
"22",2011,"AT",0.0771731690622861
"23",2012,"AT",0.0804852788874094
"24",2013,"AT",0.0766737138830162
"25",2014,"AT",0.0741311659192825
"26",2015,"AT",0.0785736338376042
"27",1990,"BE",0.0856209150326797
"28",1991,"BE",0.0754115772703133
"29",1992,"BE",0.0874159462055716
"30",1993,"BE",0.0962467484206615
"31",1994,"BE",0.0895576504713561
"32",1995,"BE",0.111184427581656
"33",1996,"BE",0.117610259618392
"34",1997,"BE",0.121801432958035
"35",1998,"BE",0.137142857142857
"36",1999,"BE",0.150034411562285
"37",2000,"BE",0.15083932853717
"38",2001,"BE",0.13720703125
"39",2002,"BE",0.146085740913327
"40",2003,"BE",0.128133052237058
"41",2004,"BE",0.143654402645721
"42",2005,"BE",0.147778230737872
"43",2006,"BE",0.153584981026563
"44",2007,"BE",0.151649981460882
"45",2008,"BE",0.158978129020401
"46",2009,"BE",0.156956004756243
"47",2010,"BE",0.153681963713981
"48",2011,"BE",0.1780868385346
"49",2012,"BE",0.144167532017999
"50",2013,"BE",0.139879498453021
"51",2014,"BE",0.148035230352304
"52",2015,"BE",0.154545454545455
"53",1990,"CA",0.083223249669749
"54",1991,"CA",0.0844932844932845
"55",1992,"CA",0.0933040614709111
"56",1993,"CA",0.0881197380729654
"57",1994,"CA",0.0955940830284714
"58",1995,"CA",0.108922515001304
"59",1996,"CA",0.101964685401641
"60",1997,"CA",0.118613312959603
"61",1998,"CA",0.123896149770399
"62",1999,"CA",0.126632403740837
"63",2000,"CA",0.126426327104349
"64",2001,"CA",0.129474548440066
"65",2002,"CA",0.133844292053247
"66",2003,"CA",0.143645561858041
"67",2004,"CA",0.147784176264397
"68",2005,"CA",0.158690020969532
"69",2006,"CA",0.146727700111345
"70",2007,"CA",0.148048279404212
"71",2008,"CA",0.1537391534742
"72",2009,"CA",0.159423165972084
"73",2010,"CA",0.140990327333291
"74",2011,"CA",0.144134567283642
"75",2012,"CA",0.1492926716141
"76",2013,"CA",0.153635805569507
"77",2014,"CA",0.158763426774954
"78",2015,"CA",0.15695067264574
"79",1990,"CH",0.0343511450381679
"80",1991,"CH",0.0327031170158406
"81",1992,"CH",0.0398406374501992
"82",1993,"CH",0.0382262996941896
"83",1994,"CH",0.0464847363552266
"84",1995,"CH",0.0473308839420791
"85",1996,"CH",0.0544754961522884
"86",1997,"CH",0.0582706766917293
"87",1998,"CH",0.0603974338914098
"88",1999,"CH",0.0785249457700651
"89",2000,"CH",0.0772696245733788
"90",2001,"CH",0.0822281167108753
"91",2002,"CH",0.0824335001316829
"92",2003,"CH",0.100204008160326
"93",2004,"CH",0.0878211329678598
"94",2005,"CH",0.100534336037997
"95",2006,"CH",0.096229379418696
"96",2007,"CH",0.112777672299222
"97",2008,"CH",0.0989379541643376
"98",2009,"CH",0.114255014326648
"99",2010,"CH",0.121610380968225
"100",2011,"CH",0.126751541356394
"101",2012,"CH",0.116376678876679
"102",2013,"CH",0.127924193070773
"103",2014,"CH",0.115233453859456
"104",2015,"CH",0.123939151321057
"105",1992,"CZ",0.181818181818182
"106",1993,"CZ",0.271186440677966
"107",1994,"CZ",0.25
"108",1995,"CZ",0.278350515463918
"109",1996,"CZ",0.147058823529412
"110",1997,"CZ",0.0872093023255814
"111",1998,"CZ",0.113122171945701
"112",1999,"CZ",0.139622641509434
"113",2000,"CZ",0.106976744186047
"114",2001,"CZ",0.130434782608696
"115",2002,"CZ",0.160958904109589
"116",2003,"CZ",0.171428571428571
"117",2004,"CZ",0.135265700483092
"118",2005,"CZ",0.177215189873418
"119",2006,"CZ",0.122448979591837
"120",2007,"CZ",0.156123822341857
"121",2008,"CZ",0.114391143911439
"122",2009,"CZ",0.170767004341534
"123",2010,"CZ",0.120498614958449
"124",2011,"CZ",0.172631578947368
"125",2012,"CZ",0.197588126159555
"126",2013,"CZ",0.153846153846154
"127",2014,"CZ",0.162179908076165
"128",2015,"CZ",0.170212765957447
"129",1990,"DE",0.0347683523193035
"130",1991,"DE",0.0369919274890242
"131",1992,"DE",0.0404619520491578
"132",1993,"DE",0.0401414866820301
"133",1994,"DE",0.0439839442886159
"134",1995,"DE",0.0467137667431857
"135",1996,"DE",0.0454597503721516
"136",1997,"DE",0.0501366120218579
"137",1998,"DE",0.0538899545379027
"138",1999,"DE",0.0571893590750926
"139",2000,"DE",0.0625904534289318
"140",2001,"DE",0.0622834635296597
"141",2002,"DE",0.0657827705571158
"142",2003,"DE",0.0688663107148411
"143",2004,"DE",0.070323573237065
"144",2005,"DE",0.0715228384896582
"145",2006,"DE",0.0722987563366782
"146",2007,"DE",0.0783112751480295
"147",2008,"DE",0.0793584669860446
"148",2009,"DE",0.0843887649447972
"149",2010,"DE",0.0836897105207036
"150",2011,"DE",0.0836002847481758
"151",2012,"DE",0.0869238005644403
"152",2013,"DE",0.0918937270019275
"153",2014,"DE",0.0960252537252639
"154",2015,"DE",0.0977880104472254
"155",1990,"DK",0.0977353992848629
"156",1991,"DK",0.114254624591948
"157",1992,"DK",0.1064453125
"158",1993,"DK",0.128061581525542
"159",1994,"DK",0.128843338213763
"160",1995,"DK",0.133259911894273
"161",1996,"DK",0.155869459327813
"162",1997,"DK",0.145256916996047
"163",1998,"DK",0.144916820702403
"164",1999,"DK",0.112289685442575
"165",2000,"DK",0.123819163292848
"166",2001,"DK",0.139066174000672
"167",2002,"DK",0.151477832512315
"168",2003,"DK",0.179406731317741
"169",2004,"DK",0.170265099754031
"170",2005,"DK",0.170088719898606
"171",2006,"DK",0.147520558185896
"172",2007,"DK",0.149185219187514
"173",2008,"DK",0.157702825888788
"174",2009,"DK",0.161180199951231
"175",2010,"DK",0.126215895610913
"176",2011,"DK",0.138772077375946
"177",2012,"DK",0.156534632493116
"178",2013,"DK",0.13826561552456
"179",2014,"DK",0.144062564313645
"180",2015,"DK",0.134455667789001
"181",1990,"ES",0.164556962025316
"182",1991,"ES",0.174123337363966
"183",1992,"ES",0.216112531969309
"184",1993,"ES",0.185924369747899
"185",1994,"ES",0.204703832752613
"186",1995,"ES",0.209907640638119
"187",1996,"ES",0.210772833723653
"188",1997,"ES",0.211778703152885
"189",1998,"ES",0.210822998872604
"190",1999,"ES",0.197362637362637
"191",2000,"ES",0.201413427561837
"192",2001,"ES",0.214650766609881
"193",2002,"ES",0.21704347826087
"194",2003,"ES",0.214166388239225
"195",2004,"ES",0.251370399373532
"196",2005,"ES",0.250402761795167
"197",2006,"ES",0.244601240111182
"198",2007,"ES",0.230317749443433
"199",2008,"ES",0.24438202247191
"200",2009,"ES",0.259671345429647
"201",2010,"ES",0.240048043925875
"202",2011,"ES",0.240064620355412
"203",2012,"ES",0.250684514755096
"204",2013,"ES",0.268858503610386
"205",2014,"ES",0.246252997601918
"206",2015,"ES",0.26879271070615
"207",1990,"FI",0.147710487444609
"208",1991,"FI",0.152487961476726
"209",1992,"FI",0.14182534471438
"210",1993,"FI",0.139414802065404
"211",1994,"FI",0.155741515574152
"212",1995,"FI",0.163202122954445
"213",1996,"FI",0.144189383070301
"214",1997,"FI",0.153824200913242
"215",1998,"FI",0.164926931106472
"216",1999,"FI",0.178651456508454
"217",2000,"FI",0.183635227982511
"218",2001,"FI",0.169036976838683
"219",2002,"FI",0.182278481012658
"220",2003,"FI",0.175710046629928
"221",2004,"FI",0.174030846185911
"222",2005,"FI",0.194818871103623
"223",2006,"FI",0.181690423609717
"224",2007,"FI",0.19300816411974
"225",2008,"FI",0.193223073820089
"226",2009,"FI",0.191468828411504
"227",2010,"FI",0.184286227975548
"228",2011,"FI",0.178474114441417
"229",2012,"FI",0.205237084217976
"230",2013,"FI",0.196685767384234
"231",2014,"FI",0.201294277929155
"232",2015,"FI",0.216226939099385
"233",1990,"FR",0.0943799633475871
"234",1991,"FR",0.101824162679426
"235",1992,"FR",0.094696089818041
"236",1993,"FR",0.110303580891816
"237",1994,"FR",0.119568304458961
"238",1995,"FR",0.125544267053701
"239",1996,"FR",0.11908655884669
"240",1997,"FR",0.130240622044762
"241",1998,"FR",0.136577017114914
"242",1999,"FR",0.139266304347826
"243",2000,"FR",0.138782402336619
"244",2001,"FR",0.149036051228294
"245",2002,"FR",0.151791135397693
"246",2003,"FR",0.154767706302794
"247",2004,"FR",0.153411045289509
"248",2005,"FR",0.150012967285391
"249",2006,"FR",0.155105359920803
"250",2007,"FR",0.153830348275744
"251",2008,"FR",0.167228807298192
"252",2009,"FR",0.164459124690339
"253",2010,"FR",0.166568914956012
"254",2011,"FR",0.166831965858203
"255",2012,"FR",0.169645184648805
"256",2013,"FR",0.171693800964984
"257",2014,"FR",0.174828225542589
"258",2015,"FR",0.171812568107519
"259",1990,"HU",0.269320843091335
"260",1991,"HU",0.288107202680067
"261",1992,"HU",0.339160839160839
"262",1993,"HU",0.302788844621514
"263",1994,"HU",0.256544502617801
"264",1995,"HU",0.320148331273177
"265",1996,"HU",0.298245614035088
"266",1997,"HU",0.291851851851852
"267",1998,"HU",0.22257053291536
"268",1999,"HU",0.272727272727273
"269",2000,"HU",0.175292153589316
"270",2001,"HU",0.223716381418093
"271",2002,"HU",0.17687074829932
"272",2003,"HU",0.195561719833564
"273",2004,"HU",0.194252873563218
"274",2005,"HU",0.212158808933002
"275",2006,"HU",0.171951219512195
"276",2007,"HU",0.181093394077449
"277",2008,"HU",0.16043956043956
"278",2009,"HU",0.156862745098039
"279",2010,"HU",0.164801627670397
"280",2011,"HU",0.139593908629442
"281",2012,"HU",0.0955347871235722
"282",2013,"HU",0.142705005324814
"283",2014,"HU",0.143730886850153
"284",2015,"HU",0.126760563380282
"285",1990,"IE",0.125714285714286
"286",1991,"IE",0.0969387755102041
"287",1992,"IE",0.0963855421686747
"288",1993,"IE",0.104395604395604
"289",1994,"IE",0.0608974358974359
"290",1995,"IE",0.112600536193029
"291",1996,"IE",0.100840336134454
"292",1997,"IE",0.14171974522293
"293",1998,"IE",0.117647058823529
"294",1999,"IE",0.144502617801047
"295",2000,"IE",0.103194103194103
"296",2001,"IE",0.102484472049689
"297",2002,"IE",0.11253701875617
"298",2003,"IE",0.060093896713615
"299",2004,"IE",0.0930232558139535
"300",2005,"IE",0.0914285714285714
"301",2006,"IE",0.11160384331116
"302",2007,"IE",0.108356940509915
"303",2008,"IE",0.142424242424242
"304",2009,"IE",0.116161616161616
"305",2010,"IE",0.124461206896552
"306",2011,"IE",0.135612535612536
"307",2012,"IE",0.108080808080808
"308",2013,"IE",0.112827112827113
"309",2014,"IE",0.106688551497743
"310",2015,"IE",0.138344662135146
"311",1990,"IL",0.125134843581446
"312",1991,"IL",0.127931769722815
"313",1992,"IL",0.120391271632807
"314",1993,"IL",0.11240575736806
"315",1994,"IL",0.133715377268386
"316",1995,"IL",0.137019230769231
"317",1996,"IL",0.123070504797664
"318",1997,"IL",0.161580935774484
"319",1998,"IL",0.149818181818182
"320",1999,"IL",0.161024121878967
"321",2000,"IL",0.156680312616301
"322",2001,"IL",0.157239125995507
"323",2002,"IL",0.155490969483081
"324",2003,"IL",0.187141216991963
"325",2004,"IL",0.201424870466321
"326",2005,"IL",0.179768948999718
"327",2006,"IL",0.17120196909613
"328",2007,"IL",0.171131547381048
"329",2008,"IL",0.169775649105117
"330",2009,"IL",0.160132523467697
"331",2010,"IL",0.16157372039725
"332",2011,"IL",0.153026970714203
"333",2012,"IL",0.153320795803227
"334",2013,"IL",0.159756934235029
"335",2014,"IL",0.165458207452165
"336",2015,"IL",0.161187599512972
"337",1990,"IT",0.098133241993492
"338",1991,"IT",0.106948341310447
"339",1992,"IT",0.120028283542514
"340",1993,"IT",0.10950808273944
"341",1994,"IT",0.114235780108039
"342",1995,"IT",0.110271231658515
"343",1996,"IT",0.118703631393987
"344",1997,"IT",0.131238885595732
"345",1998,"IT",0.136669238399647
"346",1999,"IT",0.132738664118084
