"inv_ctry","tech_group","total_inventors","female_inventors","female_share_inventors","total_graduates","female_graduates","female_share_graduates","stem_fields","country"
"AT","Overall",8183,547,0.0668459000366614,35750.071,11067.186,0.309571021551258,"F05, F06, F07","Austria"
"AU","Overall",9734,897,0.0921512225190056,77083.851,23701.165,0.30747250808733,"F05, F06, F07","Australia"
"BE","Overall",8934,1171,0.131072308036714,44321,13035,0.294104374901288,"F05, F06, F07","Belgium"
"BR","Overall",2159,232,0.107457156090783,31388,13946,0.444309927360775,"F05, F06, F07","Brazil"
"CA","Overall",36142,3119,0.0862984892922362,64086.483,23754.418,0.370661906973425,"F05, F06, F07","Canada"
"CH","Overall",18083,1666,0.0921307305203783,29641,8543,0.28821564724537,"F05, F06, F07","Switzerland"
"CL","Overall",344,38,0.11046511627907,5484.167,1830.5,0.333779040645553,"F05, F06, F07","Chile"
"CO","Overall",194,34,0.175257731958763,50901,20673,0.406141333176166,"F05, F06, F07","Colombia"
"CR","Overall",57,2,0.0350877192982456,867,273,0.314878892733564,"F05, F06, F07","Costa Rica"
"CZ","Overall",1208,71,0.0587748344370861,29087,9883,0.33977378210197,"F05, F06, F07","Czechia"
"DE","Overall",120013,8515,0.0709506470132402,192676,65462,0.339751707529739,"F05, F06, F07","Germany"
"DK","Overall",6982,781,0.111859066170152,24134,9297,0.385224165078313,"F05, F06, F07","Denmark"
"EE","Overall",248,28,0.112903225806452,3079,1361,0.442026632023384,"F05, F06, F07","Estonia"
"ES","Overall",6508,1165,0.179010448678549,135436,55139,0.407122183171387,"F05, F06, F07","Spain"
"FI","Overall",8696,818,0.094066237350506,29894,9809,0.328126045360273,"F05, F06, F07","Finland"
"FR","Overall",49275,7210,0.146321664129883,428248,147486,0.344393902598494,"F05, F06, F07","France"
"GB","Overall",39424,3347,0.0848975243506493,188964.29,72039.07,0.381231131024809,"F05, F06, F07","United Kingdom"
"GR","Overall",494,53,0.107287449392713,11102,5107,0.460007205908845,"F05, F06, F07","Greece"
"HU","Overall",1302,91,0.0698924731182796,22654,7917,0.349474706453606,"F05, F06, F07","Hungary"
"IE","Overall",3379,319,0.0944066291802308,7338,2267,0.308939765603707,"F05, F06, F07","Ireland"
"IL","Overall",19177,2195,0.114460030244564,14542,5795,0.398500893962316,"F05, F06, F07","Israel"
"IS","Overall",276,32,0.115942028985507,288,122,0.423611111111111,"F05, F06, F07","Iceland"
"IT","Overall",18417,2302,0.124993212792529,107558,45390,0.422004871790104,"F05, F06, F07","Italy"
"KR","Overall",84235,17620,0.209176708019232,113083,28912,0.255670613620084,"F05, F06, F07","South Korea"
"LT","Overall",103,25,0.242718446601942,11297,4306,0.381163140656812,"F05, F06, F07","Lithuania"
"LU","Overall",386,27,0.0699481865284974,299,115,0.384615384615385,"F05, F06, F07","Luxembourg"
"LV","Overall",64,9,0.140625,5594,2351,0.420271719699678,"F05, F06, F07","Latvia"
"MX","Overall",1225,131,0.106938775510204,45132,16740,0.370911991491625,"F05, F06, F07","Mexico"
"NL","Overall",17713,1413,0.0797719189295997,38081,12092,0.317533678212232,"F05, F06, F07","Netherlands"
"NO","Overall",3865,264,0.0683053040103493,19281,7111,0.368808671749391,"F05, F06, F07","Norway"
"NZ","Overall",1906,148,0.0776495278069255,7855.834,3139.333,0.399618041827259,"F05, F06, F07","New Zealand"
"PL","Overall",1371,203,0.148067104303428,252211,109022,0.432265047916229,"F05, F06, F07","Poland"
"PT","Overall",548,121,0.220802919708029,45049,18715,0.415436524673134,"F05, F06, F07","Portugal"
"RU","Overall",2937,279,0.0949948927477017,1179196,387931,0.32897923670026,"F05, F06, F07","Russia"
"SE","Overall",15505,1385,0.0893260238632699,32761,11114,0.339244833796282,"F05, F06, F07","Sweden"
"SI","Overall",342,45,0.131578947368421,5269,1939,0.368001518314671,"F05, F06, F07","Slovenia"
"SK","Overall",177,14,0.0790960451977401,18886,6605,0.349729958699566,"F05, F06, F07","Slovakia"
"TR","Overall",709,78,0.110014104372355,46348,20679,0.446168119444205,"F05, F06, F07","Turkey"
"US","Overall",753363,72246,0.0958979933976051,644542,216029,0.335166676492765,"F05, F06, F07","United States"
