"Country","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Algeria",NA,NA,NA,NA,NA,NA,NA,NA,45.8,NA,27.3,NA,NA,NA,NA,NA,NA,NA,NA,18.8
"Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,31.1,43.2
"Argentina",NA,NA,5.3,4.8,20,13.3,14.3,28.8,20,26.8,15.4,40.9,21.4,31.2,38,22.2,19.4,16.4,17.4,33.3
"Armenia",NA,NA,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,NA,NA,NA
"Australia",11.2,13.6,12.6,14,12.4,13.5,12.1,12.9,12.3,13.8,13.2,11.3,11.9,12.2,12.3,13.5,14.3,13.6,16.6,19.8
"Austria",3.7,4.8,6,6.7,6.4,6.4,5.5,7.2,8.7,9,8.9,8.6,6.8,7.8,7.5,8.7,7.8,9.5,9.3,8.6
"Azerbaijan",NA,NA,NA,NA,NA,NA,NA,22.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4
"Bahamas",NA,NA,11.1,30,5,19.7,8.6,6.1,9.3,15.3,15.8,NA,13,NA,11.4,9.5,NA,NA,NA,NA
"Barbados",13.9,9.9,14.8,14,10.8,14.4,16.2,18.6,14,12,19.5,16.2,22.5,16.2,16.4,31.5,19.9,22.7,18.1,13.3
"Belarus",NA,7.1,2.7,6.7,4.5,NA,5,NA,NA,NA,4,6.9,NA,12.5,5,13.9,NA,2.4,NA,NA
"Belgium",14.2,17.2,15.5,14.5,15.9,14.9,16,18.3,16.8,16.6,18.3,15.4,14.3,15.6,15.1,16.7,16.4,18.7,17.2,18.8
"Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1,NA,NA,NA,11.4,7.9,NA,18,8.2,26.8
"Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA,NA,NA,41.2,NA,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8.7,12.8,14.7,14.1,19.3,18.8,20.5,19.2,21.3,20.1,17.4,20.4,21,20.2,20.7,19.4,20.4,25.6,25.5,20.4
"Bulgaria",12.5,10,18.4,11.3,8.3,13.8,18.6,7.9,14.3,2.1,8.3,16,1.6,10.9,12.5,8.9,10.7,5.8,13.5,43.9
"Canada",11.8,13,12.8,14.4,13.9,13.8,12.8,14.4,13.2,12.8,13.1,12.2,12.1,12.6,11.7,12.1,13.1,12.8,13.4,14.4
"Chile",NA,NA,NA,NA,NA,NA,10.9,4.8,21.2,23.3,16,21.4,19,20.9,15.6,21.9,21,20.9,19.3,21.9
"China",27,8.6,21.6,29.4,30.6,29.5,27.2,26.1,26.7,27.3,28.8,28,28.4,28,29.7,28.6,29.4,28.9,28.9,32.4
"Colombia",NA,NA,17.9,3.8,6.3,11.1,18.8,11.6,20.7,27.7,16.1,16.5,16.2,23.1,18.4,21.7,25.5,21.5,28.3,20.5
"Costa Rica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,NA,6.7,NA,8.3,NA
"Croatia",33.9,13.3,19.2,23.2,31.9,29.1,34.1,30.1,29.9,28.3,37.3,28.3,6.3,10.4,9.1,24,17.5,34.1,14.3,10.9
"Cuba",NA,NA,50.5,42.3,47.1,43.9,40,41.5,48.5,55.4,NA,NA,NA,49.3,NA,NA,NA,NA,NA,NA
"Cyprus",NA,8,14.9,23.3,3.6,4.3,2,7.8,11.5,3.1,2.1,14.3,5.1,8.2,12.5,7.3,17.8,15.7,19.4,13.3
"Czech Republic",8.1,8.4,4.8,11,11.7,13.9,12.6,7.7,13.7,11.9,15,16.7,16.4,13.9,20,19.7,20,20.6,19.9,13.5
"Denmark",12.3,10.5,13.6,13.2,15.3,15.9,15.7,13.6,14.9,14.2,16.7,13.7,13,15.9,16.4,15.2,14.7,15.2,13.7,14.6
"Ecuador",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7,13.6,4.3,2.6,3.8,NA,NA,NA,9.1,NA
"Egypt",NA,NA,NA,NA,11.5,3.8,6.5,2.5,5.3,5.9,8.9,6.1,5.6,8.6,12.9,5.8,10,14.9,22.2,NA
"Estonia",NA,NA,11.1,NA,NA,15.2,32,14.3,21.8,34.4,23.7,19,18.5,15.8,14,32,11.4,12.9,5.7,16.9
"Finland",8.1,11.8,10.4,10,11.6,10.8,10.9,12.5,12.4,10.4,11.7,11.9,11.3,12.5,12.5,13.7,14.3,13,13.7,13.9
"France",13.7,15.3,15.7,15.2,15.4,15.1,15.1,15.3,15.2,15.6,16.3,16.2,17.4,18.3,18.1,17.1,18,17.8,17.9,18
"Georgia",NA,NA,NA,NA,NA,NA,NA,NA,23.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Germany",7,7,7.5,8.1,7.8,8.3,7.9,7.9,7.9,8.6,9.4,9.1,8.9,9.6,9.7,10.1,10.5,10.2,10.3,10.5
"Greece",13,6.8,14.9,26.8,12.5,6.5,11.2,16.3,16.9,23.7,12.6,12.2,18.4,17.7,18.5,20.3,23.9,26.4,20.1,25.9
"Hungary",19.5,20.6,11.2,20.5,14.2,21.5,22.1,22.2,20.1,17.3,21,16,18.8,15,12.4,17.2,10.5,14.7,21.3,14.6
"Iceland",4.3,9.7,12.2,5.5,15.1,11.2,12.4,20,11.8,7.2,6.8,11.3,14.9,18.2,15.7,11.5,7.9,16.1,19,13.2
"India",18.9,16.7,17.5,14.9,15,13.8,16.7,13.9,14.5,12.1,13.2,12.4,13.8,13.1,13.1,12.3,13.3,12.4,14.4,14.2
"Indonesia",NA,NA,NA,NA,NA,NA,NA,NA,12.5,NA,35.3,21.1,38.1,NA,NA,NA,NA,NA,NA,NA
"Iran(IslamicRepublicof)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,9.7,25.8,56.7
"Ireland",10.8,7,8.8,11,11.9,10.9,10.1,13.4,12.8,14.9,14.5,11,12.8,15.3,12.4,14.5,15.3,16.6,13.6,13
"Israel",12.6,12,12.8,15.5,16.2,17.9,18.6,15.5,13.5,16.2,14.9,13.6,14.2,15.4,14.5,15.4,14.7,15.1,14.9,15.1
"Italy",11.3,11.7,12.9,13.6,12.8,14.5,14.2,14.1,13.7,12.7,15.5,14.1,13.5,14,13.3,12.3,13.3,12.8,13.5,14.6
"Japan",7,7.2,6.9,7.2,7.3,7.3,7.2,7.1,7.4,7.7,7.7,7.9,8.4,8.2,8.4,8.8,8.6,9.1,10.1,10.7
"Jordan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.6
"Kazakhstan",NA,NA,34.6,NA,44,NA,NA,19.1,NA,20,12,11.4,27.9,18.2,20.7,20,28.2,14,16.3,11.5
"Kenya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA
"Latvia",NA,NA,12.5,17.4,NA,5,7.4,27.8,9.8,18.4,19.8,13.2,29.5,27.7,24.7,38.5,36.4,39.2,15.9,15.2
"Liechtenstein",1.2,1,6.3,5.8,5.7,10.8,3.1,5.4,4.3,22.9,6.1,1.2,1.5,6.4,4.7,5.4,4.3,7.3,7.5,7.5
"Lithuania",NA,NA,NA,NA,NA,NA,8.3,8.7,17.9,10.8,21.2,2.9,14.6,14,18.2,18.5,19.8,30.5,14.5,21.4
"Luxembourg",6.1,7.4,5,4.6,8,8.7,10.7,5.5,8.2,3.1,6.9,8.2,8.5,10.8,8.4,9.2,13.1,14.2,12.1,16.2
"Malaysia",NA,11.8,30.8,11.8,17.9,28.1,18.9,24.2,23.2,27.3,23.5,24.7,27.8,24.7,21.2,23.2,26.8,27.1,27.2,23.1
"Malta",NA,NA,NA,NA,NA,NA,NA,23.7,2.6,NA,8.2,10.3,6.9,5,2,12.6,5.7,13.5,15.2,10.7
"Mauritius",NA,NA,NA,NA,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mexico",2.3,5.7,14.3,11,8.2,17.9,16.3,16.9,21.1,19.1,15.1,13.4,19.8,16.3,24,19.2,18.1,23.8,17.5,20
"Monaco",NA,NA,10,22.2,15.6,6.4,7.7,19.2,NA,20,13.8,25.6,18.2,11.5,4.7,6,9.1,18.8,NA,19.4
"Morocco",NA,NA,NA,NA,6.3,NA,7.7,NA,11.1,6.3,21.1,NA,16.7,30.3,23.3,17.1,21,16,17.3,20.8
"Namibia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,22.2,8,NA,NA,NA,NA,NA,NA
"Netherlands",9,9.9,10.3,10.3,9.7,9.7,10.6,10.1,11.1,11.7,11.2,11.9,12.7,13.6,13.1,14,12.9,13.2,13.7,14.7
"New Zealand",11.6,12,10.9,12.3,10.1,12.6,13.7,12,13.4,16.5,13.9,12,9.9,9.8,12.6,12.4,12.3,12.6,14.3,15.6
"Norway",7.9,8,5.8,6.8,8.2,5.8,6.8,7.9,10.3,8.9,9.1,9.3,8.5,10,9.7,10.4,10.6,10.2,10.7,8.7
