"","p_year","inv_ctry","female_share_inventors"
"1",1990,"AT",0.0149006622516556
"2",1991,"AT",0.0237691001697793
"3",1992,"AT",0.0151228733459357
"4",1993,"AT",0.0220125786163522
"5",1994,"AT",0.0341726618705036
"6",1995,"AT",0.0296684118673647
"7",1996,"AT",0.0342639593908629
"8",1997,"AT",0.03963133640553
"9",1998,"AT",0.0337078651685393
"10",1999,"AT",0.0383586083853702
"11",2000,"AT",0.0318148951554591
"12",2001,"AT",0.0517241379310345
"13",2002,"AT",0.0425880425880426
"14",2003,"AT",0.0579243765084473
"15",2004,"AT",0.0424460431654676
"16",2005,"AT",0.0340740740740741
"17",2006,"AT",0.0567656765676568
"18",2007,"AT",0.0575043128234618
"19",2008,"AT",0.0577700751010976
"20",2009,"AT",0.0570228091236495
"21",2010,"AT",0.0680457267283615
"22",2011,"AT",0.055614406779661
"23",2012,"AT",0.0585229911751045
"24",2013,"AT",0.0524677634504224
"25",2014,"AT",0.0482794042116076
"26",2015,"AT",0.0543175487465181
"27",1990,"BE",0.0735930735930736
"28",1991,"BE",0.0756693830034924
"29",1992,"BE",0.0776361529548088
"30",1993,"BE",0.0902325581395349
"31",1994,"BE",0.0790960451977401
"32",1995,"BE",0.0920121334681496
"33",1996,"BE",0.0994248151191454
"34",1997,"BE",0.118551042810099
"35",1998,"BE",0.123980424143556
"36",1999,"BE",0.132996632996633
"37",2000,"BE",0.126099706744868
"38",2001,"BE",0.121084337349398
"39",2002,"BE",0.113250283125708
"40",2003,"BE",0.091626213592233
"41",2004,"BE",0.10488346281909
"42",2005,"BE",0.114363143631436
"43",2006,"BE",0.110728628800918
"44",2007,"BE",0.11522633744856
"45",2008,"BE",0.11499493414387
"46",2009,"BE",0.122769064359113
"47",2010,"BE",0.128205128205128
"48",2011,"BE",0.142170989433237
"49",2012,"BE",0.111579934364744
"50",2013,"BE",0.0975280898876404
"51",2014,"BE",0.102844638949672
"52",2015,"BE",0.0959383753501401
"53",1990,"CA",0.0611928737412858
"54",1991,"CA",0.0551070551070551
"55",1992,"CA",0.067109634551495
"56",1993,"CA",0.0667232117613797
"57",1994,"CA",0.0710594315245478
"58",1995,"CA",0.0810665230272017
"59",1996,"CA",0.0809553349875931
"60",1997,"CA",0.0885113268608414
"61",1998,"CA",0.0798324826593378
"62",1999,"CA",0.0910154726303472
"63",2000,"CA",0.0858611825192802
"64",2001,"CA",0.0813178193227873
"65",2002,"CA",0.0837015528342381
