"","p_year","inv_ctry","country","female_share_inventors","total_inventors"
"1","1980","AT","Austria",0,0
"2","1981","AT","Austria",0,0
"3","1982","AT","Austria",0.00856531049250535,363
"4","1983","AT","Austria",0.0101302460202605,408
"5","1984","AT","Austria",0.00903041825095057,406
"6","1985","AT","Austria",0.0106619280319858,569
"7","1986","AT","Austria",0.0114601018675722,610
"8","1987","AT","Austria",0.0130168453292496,619
"9","1988","AT","Austria",0.0143833153541891,577
"10","1989","AT","Austria",0.0155945419103314,703
"11","1990","AT","Austria",0.0146875,691
"12","1991","AT","Austria",0.0164749766863537,627
"13","1992","AT","Austria",0.0171937365673933,659
"14","1993","AT","Austria",0.0182982616651418,599
"15","1994","AT","Austria",0.0206851971557854,518
"16","1995","AT","Austria",0.0239714933592485,684
"17","1996","AT","Austria",0.0246367656348705,706
"18","1997","AT","Austria",0.0279569892473118,748
"19","1998","AT","Austria",0.0285961871750433,806
"20","1999","AT","Austria",0.0283870967741936,931
"21","2000","AT","Austria",0.0310573731626363,1027
"22","2001","AT","Austria",0.032994923857868,1216
"23","2002","AT","Austria",0.0317950581395349,1524
"24","2003","AT","Austria",0.0357431667475336,1485
"25","2004","AT","Austria",0.0396873120865905,1400
"26","2005","AT","Austria",0.0400469414698548,1192
"27","2006","AT","Austria",0.0423234092235844,1251
"28","2007","AT","Austria",0.0450932436563742,1214
"29","2008","AT","Austria",0.0445733475805221,1494
"30","2009","AT","Austria",0.0447849145550972,1637
"31","2010","AT","Austria",0.0507854821235103,1788
"32","2011","AT","Austria",0.0658996984251089,1801
"33","2012","AT","Austria",0.0649523387275549,1818
"34","2013","AT","Austria",0.06081820170641,1870
"35","2014","AT","Austria",0.0530945973918443,2182
"36","2015","AT","Austria",0.0526458126746597,2365
"37","2016","AT","Austria",0.0548842750170184,2292
"38","2017","AT","Austria",0.051516258677384,1780
"39","2018","AT","Austria",0.0536716272261527,1078
"40","2019","AT","Austria",0.0523802417549619,283
"41","1980","AU","Australia",0.0180952380952381,361
"42","1981","AU","Australia",0.0227773695811903,385
"43","1982","AU","Australia",0.0242718446601942,389
"44","1983","AU","Australia",0.0312680949623625,356
"45","1984","AU","Australia",0.0356555128908393,332
"46","1985","AU","Australia",0.037192247249869,447
"47","1986","AU","Australia",0.0355731225296443,500
"48","1987","AU","Australia",0.0365965233302836,551
"49","1988","AU","Australia",0.0356255178127589,584
"50","1989","AU","Australia",0.0353241077931537,664
"51","1990","AU","Australia",0.036883833160979,602
"52","1991","AU","Australia",0.0419973544973545,623
"53","1992","AU","Australia",0.0465879265091864,575
"54","1993","AU","Australia",0.0515986071541627,695
"55","1994","AU","Australia",0.0511172329354148,772
"56","1995","AU","Australia",0.0580793559516964,813
"57","1996","AU","Australia",0.0622270742358079,809
"58","1997","AU","Australia",0.0684063845958956,858
"59","1998","AU","Australia",0.0797183738360209,1151
"60","1999","AU","Australia",0.0884353741496599,1073
"61","2000","AU","Australia",0.0903263403263403,1257
"62","2001","AU","Australia",0.108103564223268,1609
"63","2002","AU","Australia",0.120241857908479,2187
"64","2003","AU","Australia",0.121293471629042,2069
"65","2004","AU","Australia",0.135602205258694,2310
"66","2005","AU","Australia",0.150445731090892,2706
"67","2006","AU","Australia",0.154524637435332,2519
