"inv_ctry","tech_group","total_inventors","female_inventors","female_share_inventors","total_graduates","female_graduates","female_share_graduates","stem_fields","country"
"AT","Overall",13277,816,0.0614596670934699,40695.071,12408.519,0.304914543581949,"F05, F06, F07","Austria"
"AU","Overall",17128,1601,0.0934726763194769,87754.851,26220.165,0.298788781488558,"F05, F06, F07","Australia"
"BE","Overall",15133,1874,0.123835326769312,44321,13035,0.294104374901288,"F05, F06, F07","Belgium"
"BR","Overall",3437,407,0.118417224323538,31388,13946,0.444309927360775,"F05, F06, F07","Brazil"
"CA","Overall",63674,5622,0.0882934949901059,74023.483,27524.418,0.371833597724657,"F05, F06, F07","Canada"
"CH","Overall",30091,2604,0.0865375029078462,33725,9612,0.285011119347665,"F05, F06, F07","Switzerland"
"CL","Overall",522,59,0.113026819923372,5484.167,1830.5,0.333779040645553,"F05, F06, F07","Chile"
"CO","Overall",259,46,0.177606177606178,53642,21696,0.404459192423847,"F05, F06, F07","Colombia"
"CR","Overall",95,3,0.0315789473684211,867,273,0.314878892733564,"F05, F06, F07","Costa Rica"
"CZ","Overall",1744,109,0.0625,29087,9883,0.33977378210197,"F05, F06, F07","Czechia"
"DE","Overall",213356,14106,0.0661148502971559,230160,79142,0.343856447688564,"F05, F06, F07","Germany"
"DK","Overall",11637,1342,0.11532181833806,27644,10570,0.382361452756475,"F05, F06, F07","Denmark"
"EE","Overall",364,49,0.134615384615385,3079,1361,0.442026632023384,"F05, F06, F07","Estonia"
"ES","Overall",10291,1865,0.181226314255174,163197,67224,0.411919336752514,"F05, F06, F07","Spain"
"FI","Overall",16047,1480,0.0922290770860597,34157,11358,0.33252334806921,"F05, F06, F07","Finland"
"FR","Overall",83260,12031,0.144499159260149,487027,165324,0.33945551273338,"F05, F06, F07","France"
"GB","Overall",69099,5828,0.0843427545984747,220940.29,82020.07,0.371231838249149,"F05, F06, F07","United Kingdom"
"GR","Overall",811,88,0.108508014796547,11102,5107,0.460007205908845,"F05, F06, F07","Greece"
"HU","Overall",2102,205,0.0975261655566128,26012,9055,0.348108565277564,"F05, F06, F07","Hungary"
"IE","Overall",5270,452,0.0857685009487666,7338,2267,0.308939765603707,"F05, F06, F07","Ireland"
"IL","Overall",31083,3700,0.11903612907377,16445,6567,0.39933110367893,"F05, F06, F07","Israel"
"IS","Overall",443,50,0.112866817155756,288,122,0.423611111111111,"F05, F06, F07","Iceland"
"IT","Overall",31467,3915,0.124416054914673,107558,45390,0.422004871790104,"F05, F06, F07","Italy"
"JP","Overall",497525,31228,0.0627666951409477,117808,15051,0.127758726062746,"F05, F06, F07","Japan"
"KR","Overall",134395,27930,0.207820231407418,131464,32769,0.249262155418974,"F05, F06, F07","South Korea"
"LT","Overall",194,48,0.247422680412371,13240,5180,0.391238670694864,"F05, F06, F07","Lithuania"
"LU","Overall",681,43,0.0631424375917768,299,115,0.384615384615385,"F05, F06, F07","Luxembourg"
"LV","Overall",135,29,0.214814814814815,6297,2640,0.419247260600286,"F05, F06, F07","Latvia"
"MX","Overall",1882,203,0.107863974495218,52038,18920,0.363580460432761,"F05, F06, F07","Mexico"
"NL","Overall",30803,2226,0.0722656884069734,38081,12092,0.317533678212232,"F05, F06, F07","Netherlands"
"NO","Overall",6495,421,0.0648190916089299,21292,7799,0.366287807627278,"F05, F06, F07","Norway"
"NZ","Overall",3260,314,0.096319018404908,8778,3519.833,0.40098348143085,"F05, F06, F07","New Zealand"
"PL","Overall",1878,272,0.144834930777423,292276,125767,0.430302180131109,"F05, F06, F07","Poland"
"PT","Overall",800,158,0.1975,56246,23705,0.421452192155887,"F05, F06, F07","Portugal"
"RU","Overall",5000,516,0.1032,1179196,387931,0.32897923670026,"F05, F06, F07","Russia"
"SE","Overall",25993,2325,0.0894471588504597,32761,11114,0.339244833796282,"F05, F06, F07","Sweden"
"SI","Overall",592,100,0.168918918918919,5269,1939,0.368001518314671,"F05, F06, F07","Slovenia"
"SK","Overall",270,25,0.0925925925925926,18886,6605,0.349729958699566,"F05, F06, F07","Slovakia"
"TR","Overall",934,99,0.105995717344754,52180,23110,0.442889996167114,"F05, F06, F07","Turkey"
"US","Overall",1336497,126095,0.0943473872369336,725520,242376,0.334072113794244,"F05, F06, F07","United States"
