"","inv_ctry","tech_group","total_inventors","female_inventors","female_share_inventors","total_graduates","female_graduates","female_share_graduates","stem_fields","country"
"1","AT","Chemistry",3775,563,0.1491,"40695.071","12408.519",0.3049,"F05, F06, F07","Austria"
"2","AT","Electrical Engineering",4387,117,0.0267,"40695.071","12408.519",0.3049,"F05, F06, F07","Austria"
"3","AT","Instruments",2432,103,0.0424,"40695.071","12408.519",0.3049,"F05, F06, F07","Austria"
"4","AT","Mechanical Engineering",3360,66,0.0196,"40695.071","12408.519",0.3049,"F05, F06, F07","Austria"
"5","AT","Other Fields",859,19,0.0221,"40695.071","12408.519",0.3049,"F05, F06, F07","Austria"
"6","AU","Chemistry",4911,803,0.1635,"87754.851","26220.165",0.2988,"F05, F06, F07","Australia"
"7","AU","Electrical Engineering",5055,342,0.0677,"87754.851","26220.165",0.2988,"F05, F06, F07","Australia"
"8","AU","Instruments",4405,386,0.0876,"87754.851","26220.165",0.2988,"F05, F06, F07","Australia"
"9","AU","Mechanical Engineering",3076,134,0.0436,"87754.851","26220.165",0.2988,"F05, F06, F07","Australia"
"10","AU","Other Fields",1879,134,0.0713,"87754.851","26220.165",0.2988,"F05, F06, F07","Australia"
"11","BE","Chemistry",6817,1232,0.1807,"44321","13035",0.2941,"F05, F06, F07","Belgium"
"12","BE","Electrical Engineering",4460,365,0.0818,"44321","13035",0.2941,"F05, F06, F07","Belgium"
"13","BE","Instruments",2402,244,0.1016,"44321","13035",0.2941,"F05, F06, F07","Belgium"
"14","BE","Mechanical Engineering",2443,145,0.0594,"44321","13035",0.2941,"F05, F06, F07","Belgium"
"15","BE","Other Fields",528,31,0.0587,"44321","13035",0.2941,"F05, F06, F07","Belgium"
"16","BR","Chemistry",1311,273,0.2082,"31388","13946",0.4443,"F05, F06, F07","Brazil"
"17","BR","Electrical Engineering",733,46,0.0628,"31388","13946",0.4443,"F05, F06, F07","Brazil"
"18","BR","Instruments",481,46,0.0956,"31388","13946",0.4443,"F05, F06, F07","Brazil"
"19","BR","Mechanical Engineering",920,45,0.0489,"31388","13946",0.4443,"F05, F06, F07","Brazil"
"20","BR","Other Fields",251,17,0.0677,"31388","13946",0.4443,"F05, F06, F07","Brazil"
"21","CA","Chemistry",14087,2172,0.1542,"74023.483","27524.418",0.3718,"F05, F06, F07","Canada"
"22","CA","Electrical Engineering",28971,2051,0.0708,"74023.483","27524.418",0.3718,"F05, F06, F07","Canada"
"23","CA","Instruments",11015,1176,0.1068,"74023.483","27524.418",0.3718,"F05, F06, F07","Canada"
"24","CA","Mechanical Engineering",11358,604,0.0532,"74023.483","27524.418",0.3718,"F05, F06, F07","Canada"
"25","CA","Other Fields",5343,296,0.0554,"74023.483","27524.418",0.3718,"F05, F06, F07","Canada"
"26","CH","Chemistry",10030,1652,0.1647,"33725","9612",0.285,"F05, F06, F07","Switzerland"
"27","CH","Electrical Engineering",7752,390,0.0503,"33725","9612",0.285,"F05, F06, F07","Switzerland"
"28","CH","Instruments",8858,489,0.0552,"33725","9612",0.285,"F05, F06, F07","Switzerland"
"29","CH","Mechanical Engineering",5802,202,0.0348,"33725","9612",0.285,"F05, F06, F07","Switzerland"
"30","CH","Other Fields",1618,54,0.0334,"33725","9612",0.285,"F05, F06, F07","Switzerland"
"31","CL","Chemistry",291,47,0.1615,"5484.167","1830.5",0.3338,"F05, F06, F07","Chile"
