"p_year","inv_ctry","country","female_share_inventors","total_inventors"
"1980","AT","Austria",0.0114942528735632,696
"1981","AT","Austria",0.0126705653021442,1026
"1982","AT","Austria",0.0109631949882537,1277
"1983","AT","Austria",0.0130853994490358,1452
"1984","AT","Austria",0.0120160213618158,1498
"1985","AT","Austria",0.0144654088050314,1590
"1986","AT","Austria",0.0143283582089552,1675
"1987","AT","Austria",0.0154831820608649,1873
"1988","AT","Austria",0.0165247871807712,1997
"1989","AT","Austria",0.0185688405797101,2208
"1990","AT","Austria",0.0171821305841924,2328
"1991","AT","Austria",0.0187891440501044,2395
"1992","AT","Austria",0.0196324143692565,2394
"1993","AT","Austria",0.0212323064113239,2402
"1994","AT","Austria",0.0232150678931231,2283
"1995","AT","Austria",0.0267471958584987,2318
"1996","AT","Austria",0.0288624787775891,2356
"1997","AT","Austria",0.0323493732308937,2473
"1998","AT","Austria",0.0327190673185408,2659
"1999","AT","Austria",0.0323995950050624,2963
"2000","AT","Austria",0.035423197492163,3190
"2001","AT","Austria",0.037109375,3584
"2002","AT","Austria",0.0365230094959825,4107
"2003","AT","Austria",0.0403331871985971,4562
"2004","AT","Austria",0.0449552481692433,4916
"2005","AT","Austria",0.0460159362549801,5020
"2006","AT","Austria",0.0485111417866299,5071
"2007","AT","Austria",0.0508646998982706,4915
"2008","AT","Austria",0.0517766497461929,4925
"2009","AT","Austria",0.0528072241853161,5094
"2010","AT","Austria",0.0593755639776214,5541
"2011","AT","Austria",0.0623608017817372,5837
"2012","AT","Austria",0.0673867483475738,6203
"2013","AT","Austria",0.0682520074119827,6476
"2014","AT","Austria",0.0678501579659997,6647
"2015","AT","Austria",0.0646853146853147,6864
"2016","AT","Austria",0.0626148409893993,7075
"2017","AT","Austria",0.0602582496413199,6970
"2018","AT","Austria",0.0594865372573575,6388
"2019","AT","Austria",0.0583717357910906,5208
"1980","AU","Australia",0.0212527964205817,894
"1981","AU","Australia",0.024330900243309,1233
"1982","AU","Australia",0.0259481037924152,1503
"1983","AU","Australia",0.0304761904761905,1575
"1984","AU","Australia",0.0353293413173653,1670
"1985","AU","Australia",0.0371640937678674,1749
"1986","AU","Australia",0.0360215053763441,1860
"1987","AU","Australia",0.0378596668349319,1981
"1988","AU","Australia",0.0386539336061846,2199
"1989","AU","Australia",0.0376518218623482,2470
"1990","AU","Australia",0.0383582662063675,2607
"1991","AU","Australia",0.0436390532544379,2704
"1992","AU","Australia",0.0464351005484461,2735
"1993","AU","Australia",0.0512455516014235,2810
"1994","AU","Australia",0.0515463917525773,2910
"1995","AU","Australia",0.0578861788617886,3075
"1996","AU","Australia",0.0624039348293883,3253
"1997","AU","Australia",0.0682077625570776,3504
"1998","AU","Australia",0.0741312741312741,3885
"1999","AU","Australia",0.0808448652585579,4119
"2000","AU","Australia",0.081468218442256,4468
